LG|16Z95P*|16Z95P*-*|Notebook|1.3|1.3|5.1|19.2|10/18/2021|
ASUS|PN80 Series|PN80|Desktop|4.1|4.1|14.8|59|08/31/2021|
Fujitsu|MI7W|ESPRIMO P7011 ESTAR|Desktop|2.3|12.4|18.6|69.1|08/31/2021|
Fujitsu|MI7W|ESPRIMO P5011 ESTAR|Desktop|1.1|6|14.7|48.3|08/31/2021|
DT Research|504T|504T|Portable All-In-One Computer|1.2|1.2|18.9|56.7|07/22/2021|
ConceptD|N20Q1|N20Q1|Notebook|0.4|4.2|7.7|25.5|08/30/2021|
Fujitsu|DTG|ESPRIMO D7011 ESTAR|Desktop|2.1|13.4|14.5|58.6|08/24/2021|
Fujitsu|DTG|ESPRIMO D9011 ESTAR|Desktop|1.5|6.3|7.4|31.3|08/20/2021|
Lenovo|IdeaPad 1 15ADA7|IdeaPad 1 15ADA7|Notebook|0.2|3.5|5.7|19|08/23/2021|
Lenovo|IdeaPad 1 14ADA7|IdeaPad 1 14ADA7|Notebook|0.2|3.2|5.2|17.4|08/23/2021|
MSI|MS-B935|MPG Trident 3 11th|Desktop|1.6|7.9|26.9|82.2|08/13/2021|
CYBERNET|CyberMed & iOne & IPC series|CyberMed M12|Integrated Desktop|0.5|4.6|7.4|26.4|07/27/2021|
MSI|MS-158L|Alpha 15 B5EE|Notebook|1.8|1.8|12.9|42.3|08/13/2021|
ASUS|B3402FE Series|B3402FE|Notebook|0.9|0.9|5.4|18.8|08/18/2021|
ConceptD|N19Q6|N19Q6|Notebook|0.8|5.4|12.7|41.9|08/12/2021|
Lenovo|Yoga Slim 7 Carbon 14ACN6|Yoga Slim 7 Carbon 14ACN6|Notebook|2.4|2.7|6.7|27.8|08/16/2021|
DELL|P112F|Vostro 15 3515|Notebook|0.3|2.8|4.9|16.7|05/05/2021|
Fujitsu|DTG|ESPRIMO D6011 ESTAR|Desktop|2.2|10|14.4|55.8|08/06/2021|
MSI|MS-1591|Summit E16 A11UDT|Notebook|0.8|0.8|6.4|22|07/27/2021|
BMXC|M863-EEA|M863-EEA|Slate/Tablet|0.5|0.5|1.9|7.9|08/09/2021|
Fujitsu|TCS5|ESPRIMO G5011 ESTAR|Desktop|1.5|10.2|10.4|42.9|08/10/2021|
ASUS|CR1100FK Series|CR1100CK|Notebook|0.4|2.3|3.8|13.9|08/09/2021|
Acer|N20C5|N20C5|Notebook|1.3|3|5|25.6|08/06/2021|
HP|HP Chromebook 11.6 inch ENERGY STAR|11a-ne|Notebook|0.3|0.7|2.6|8.6|08/08/2021|
CIARA|Horizon T1###0|Horizon T1###0|Desktop|1.8|15.9|16.5|64.6|07/30/2021|
ASUS|C424M Series|C424M|Notebook|0.6|1.1|3.6|12.8|08/06/2021|
HP|HP Engage Go 10 Convertible System|HSC-I001R|Integrated Desktop|1.6|1.6|5.4|23.1|08/05/2021|
Microsoft|Surface Pro 8|1983|Slate/Tablet|0.5|0.5|4.2|13.6|08/05/2021|
Microsoft|Surface Pro X|2010|Slate/Tablet|0.3|0.3|5|14.7|08/05/2021|
HP|HP Engage Go 10 Mobile System|HSC-I001R|Slate/Tablet|0.7|0.7|4.8|14.5|08/05/2021|
CIARA|Horizon D1###0|Horizon D1###0|Desktop|1.8|15.8|16.8|65|08/05/2021|
SiComputer|Activa Work|B2.*#.##.##|Desktop|1.1|11.2|11.6|44.8|10/07/2021|
SiComputer|Activa Micro|M1.*#.##.##|Desktop|1.1|8.8|9.4|37|10/07/2021|
COMPUMAX|DRACO-CI7-0015|PDESN00002|Desktop|1.2|16.4|17.2|65.2|10/06/2021|
Acer|N20Q10|R753T|Notebook|0.4|1.2|3.1|11|09/30/2021|
HP|HP Tablet ENERGY STAR|11-be|Slate/Tablet|1.1|2.5|4.4|17.9|10/04/2021|
Microsoft|Surface Laptop Studio|1964|Notebook|0.9|0.9|4|14.8|10/01/2021|
GETAC|ZX10|ZX10|Slate/Tablet|1.1|1.1|3.5|13.8|09/29/2021|
LG|17Z95P*|17Z95P*-*|Notebook|1.3|1.3|5.7|20.8|09/28/2021|
LG|15Z95P*|15Z95P*-*|Notebook|1.4|1.4|5.3|20.1|09/28/2021|
CTL|NL72|NL72|Notebook|0.3|1.3|3.2|11|09/27/2021|
VAIO|PC888*****|PC888|Notebook|1.4|-1|6.9|24.7|09/14/2021|
Lenovo|Lenovo V14 G2 IJL|Lenovo V14 G2 IJL|Notebook|0.4|2.7|5|17.1|09/22/2021|
Lenovo|Lenovo V15 G2 IJL|Lenovo V15 G2 IJL|Notebook|0.4|2|4.3|14.6|09/22/2021|
MSI|MS-16R6|GF63 Thin 11UD|Notebook|0.8|5.5|7.8|29.8|08/09/2021|
